,routing_processing_time_s,local_processing_time_s
484,0.1651,0.2898
485,0.3601,0.0547
486,0.1026,0.1246
487,0.3023,0.5467
488,0.166,0.3232
489,0.4454,0.2963
490,0.1915,0.1525
491,0.1683,0.1719
492,0.1387,0.1681
493,0.4526,0.4626
494,0.2368,0.302
495,0.3097,0.501
496,0.1936,0.2871
497,0.3184,0.2432
498,0.2021,0.3521
499,0.1352,0.231
500,0.12,0.0964
501,0.4015,0.1594
502,0.1082,0.3119
503,0.3775,0.2675
504,0.1297,0.1081
505,0.6098,0.0894
506,0.11,0.1999
507,0.1407,0.2704
508,0.0864,0.325
509,0.383,0.1428
510,0.1601,0.3152
511,0.1763,0.2038
512,0.109,0.2528
513,0.3081,0.3294
514,0.3529,0.3907
515,0.3134,0.1251
516,0.1273,0.1905
517,0.2797,0.1771
518,0.2246,0.321
519,0.2166,0.3988
520,0.1553,0.1635
521,0.4321,0.496
522,0.2606,0.3248
523,0.2509,0.159
524,0.1294,0.215
525,0.4529,0.1434
526,0.1755,0.3068
527,0.18,0.2579
528,0.1315,0.1725
529,0.6171,0.4078
530,0.2357,0.41
531,0.323,0.1361
532,0.2117,0.4821
533,0.4461,0.1577
534,0.2881,0.3191
535,0.1985,0.3354
536,0.2941,0.3255
537,0.3428,0.192
538,0.1911,0.4096
539,0.3453,0.132
540,0.157,0.0644
541,0.5974,0.1157
542,0.3618,0.2446
543,0.2765,0.3612
544,0.1541,0.1906
545,0.3272,0.5494
546,0.133,0.1619
547,0.3937,0.3035
548,0.094,0.3123
549,0.7192,0.3593
550,0.1795,0.4774
551,0.1367,0.4989
552,0.1898,0.3964
553,0.3703,0.4644
554,0.2438,0.4651
555,0.2237,0.3362
556,0.3809,0.3763
557,0.3617,0.2476
558,0.1511,0.2658
559,0.3131,0.1762
560,0.1678,0.376
561,0.4379,0.6193
562,0.4191,0.3459
563,0.3877,0.3633
564,0.1984,0.3681
565,0.3399,0.1829
566,0.4004,0.1698
567,0.4739,0.3796
568,0.2319,0.3914
569,0.6403,0.4985
570,0.2886,0.1594
571,0.1417,0.5046
572,0.179,0.1829
573,0.4728,0.4083
574,0.2122,0.5078
575,0.2781,0.3492
576,0.2284,0.1744
577,0.427,0.2299
578,0.1408,0.4902
579,0.2448,0.408
580,0.1349,0.3796
581,0.5519,0.4833
582,0.129,0.4672
583,0.2859,0.3423
584,0.254,0.2288
585,0.5489,0.2163
586,0.2128,0.562
587,0.2926,0.1997
588,0.0946,0.3005
589,0.3857,0.1392
590,0.2376,0.2856
591,0.2803,0.2854
592,0.0718,0.2633
593,0.473,0.7527
594,0.2537,0.1624
595,0.1808,0.4553
596,0.2855,0.4051
597,0.5254,0.2202
598,0.1701,0.2174
599,0.5956,0.3425
600,0.188,0.303
601,0.4897,0.59
602,0.3304,0.3635
603,0.3767,0.3475
